video_id,index,no_list,time,categories,part
1001,24,"[176, 177, 178, 179, 180, 181, 182, 183, 184, 185]","['00:17:42,390', '00:18:35,520']",,"of the single market and to have alignment and a frictionless border, and there was concern in the eu that there are still not a viable technology from the uk about the technology, and it is difficult to see how this is going to move forward without some very specific proposals in this speech today. they think the eu is becoming increasingly intra nsigent orders arejust seen becoming increasingly intra nsigent orders are just seen that way from their tough language and you think they would be prepared to see deal? the fact the remains that there is no precedent for what the uk wants, and the eu has a variety of partnerships out there, although these are not something that the uk was to sign up to so that puts the eu ina was to sign up to so that puts the eu in a difficult position as they are to satisfy the uk's needs in the absence of detail. good to get your thoughts."
1001,25,"[186, 187, 188, 189, 190]","['00:18:35,519', '00:19:04,230']",News,"we'll focus on a speech in a couple of hours' time. here's our briefing on some of the key events happening later. we begin in new york for the opening of the ""david bowie is"" exhibition. then later president donald trump's former campaign manager paul manafort will appear in a us court to be arraigned on a second indictment filed against him.the new 32—count indictment alleges he committed bank fraud and filed false tax returns. and later on"
1001,26,"[191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201]","['00:19:04,230', '00:20:08,089']",Sports,"in paris, the french equivalent of the oscars kicks off. at this year's cesars the aids drama 120 bpm and world war i drama au revoir la—haut are among the favourites. now it's time to get all the latest from the bbc sports centre. hello there, coming up in your friday sport briefing, american deontay wilder has his eyes on andyjoshua, despite his wbc heavyweight title defence in new york this weekend against luis 0rtiz. the world indoor athletics continues and cliff diving in the azores sounds nice. but you may want to think again when you see what it involves. deontay wilder will defend his wbc heavyweight title against cuban, luiz 0rtiz on saturday when they meet in new york. the american holds one of the four heavyweight titles and is already talking about a potential unification fight against briton, andyjoshua. but speaking to the bbc, obstacles are being put up byjoshua's promoter, eddie hearn."
1001,27,"[202, 203, 204, 205, 206, 207, 208, 209, 210, 211]","['00:20:08,089', '00:21:06,308']",Arts & Entertainment,"i don't believe they want it. and when i say they, i mean eddie. eddie hearn, i don't believe eddie hearn wants this fight at all. why not? because, like i say, joshua is like annabel the cow, eddie hearn is milking him. milking him, every dollar. every dollar. the world indoor aathletics championships are underway in birmingham and there is plenty to feast your eyes on later. the south african is the strong favourite in the long jump final on friday night. the showpiece event is the women's 60 metres final where all eyes will be on elaine thomson. the double olympic champion is hoping to get her season back on track after some poor form. the jamaican hasn't come close to the time she posted last year. in case you missed it, a sparsely filled emirates stadium in north london. arsenal were given a first— half footballing lesson by manchester city in the premier league just days after"
1001,28,"[212, 213, 214, 215, 216]","['00:21:06,308', '00:21:33,480']",Sports,"being beaten by the same team in the league cup final. three first half goals led by german international, leroy sane, who scored one himself, wasn't at the interval vote. arsenal failed to score and saw aubameyang have a penalty saved, heaping more pressure on gunners' boss, arsene wenger. physically, certainly, our highest game of the season. them as well, we played with low confidence and we could see that at the start"
1001,29,"[217, 218, 219, 220, 221]","['00:21:33,480', '00:22:03,910']",Games,"of the game and we paid for it. they were a quality team and they took advantage of that. after that, we maintained and we needed the penalty to go in to have a little chance to come back. that was another negative in the second half. in the end, we lost against a team which is the best in the country at the moment. the spanish leaders, barcelona extended their club record unbeaten league run to 33 games, but they could only manage"
1001,30,"[222, 223, 224, 225, 226, 227]","['00:22:03,910', '00:22:39,200']",Sports,"a 1—1 draw to las palmas. lionel messi gave barcelona the lead just after the 20 minute mark, but a second—half penalty rescued it for the canary islands hosts. the catalans moved five points clear of atletico madrid, when it comes to cliff diving, you need lots of skill and dedication, but above all, you need guts. just take a look at this. this cliff diver posted this of himself in the azores in the atlantic. the american says i am scared"
1001,31,"[228, 229, 230, 231, 232]","['00:22:39,200', '00:23:12,980']",,"of the potential consequences of a cliff dive gone wrong. almost as much as having to hold and nine to five office job. i know how he feels. you can get all those stories on our website. from me, that is your friday sport briefing. an international team including scientists from oxford university has discovered a thriving colony of more than 750,000 penguins off the antarctic peninsula. with little human activity on the"
1001,32,"[233, 234, 235, 236, 237, 238]","['00:23:12,980', '00:23:47,678']",Pets & Animals,"danger islands, a so—called super—colony of adelie penguins is thriving. whilst the same species is in decline on the other side of the peninsula. 0ur science correspondent victoria gill has more. a bird's eye view of a super colony. three quarters of a million adelie penguins are nesting here on the a ptly penguins are nesting here on the aptly named danger islands just east of the antarctic peninsula. it was only when a team of british and us scientists mounted an expedition to the wrote, rocky"
1001,33,"[239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249]","['00:23:47,679', '00:24:36,359']",,"islands that they we re the wrote, rocky islands that they were able to carry out a detailed penguin centres. painstaking headcounts with aerial photography revealed the scale of this wildlife haven. ijoined the team of researchers in antarctica in 2016 and captured a snapshot of their decade of wildlife monitoring in this frozen landscape. worked like this frozen landscape. worked like this on the ground in the antarctic has revealed that adelie penguins in the rest of the peninsular are in decline service discoveryjust 100 decline service discoveryjust100 miles away provides a vital clue about a site that can be a refuge for the birds. and it might need more protection from human activities like fishing. 0ne more protection from human activities like fishing. one key to this island's fast stable colony is the sea ice. as well as being a vital breeding ground for the crusta cea ns vital breeding ground for the crustaceans"
1001,34,"[250, 251, 252, 253, 254]","['00:24:36,359', '00:25:00,990']",Hobbies & Leisure,and cruel that penguins rely on it makes access to the island is difficult for fishing and shipping. is a proposalto island is difficult for fishing and shipping. is a proposal to make the sea shipping. is a proposal to make the sea around the danger islands marine protected area. scenes like this show just what that could preserve. great to see them thriving there. sticking with the cold theme — denmark may be in the depths of a freezing and rather
1001,35,"[255, 256, 257, 258, 259]","['00:25:00,990', '00:25:32,069']",Arts & Entertainment,"dark winter but its capital copenhagen is awash with light. it's for the city's first international light festival. a total of a0 illuminated artworks dot the quay, small parks and buildings, with danish elements of minimalism, sustainability and scandinavian design featuring heavily. 0rganisers say the festival is aimed at getting the danes out of the house in winter, to see copenhagen in a new light. that's pretty spectacular."
1001,36,"[260, 261, 262, 263, 264, 265]","['00:25:32,069', '00:25:55,870']",News,"stay with me on bbc news, i'll be back with the business briefing in just a few moments — we'll have more on president trump's move to slap tariffs on imported steel — plus the economic challenges facing italy. tell me what you think about our talking point today — with transport chaose all over europe and people stuck in their cars for hours — we're asking if we've all been woefully underprepared for the beast from the east — even though we knew it was coming. i have been very disappointed with"
1001,37,"[266, 267, 268, 269, 270]","['00:25:55,869', '00:26:30,659']",,"the gritting, or the lack of it, in my area. stay with us here on bbc news so much more to come. we've seen treacherous conditions in the uk and there are more warnings from the met office, with amber weather warning still in force across scotland, northern ireland and the north east of england with frequent showers, those warnings expiring at 10am. by the early hours of the morning we will have lost that red warning towards the south—west"
1001,38,"[271, 272, 273, 274, 275]","['00:26:30,659', '00:26:57,073']",News,"and wales, but there are still that amber weather warning until eight o'clock or so. that's no we have been seeing has been particularly bad in hampshire, and that has been due to a combination of storm emma and the cold air brought about by the beast from the east. dennis taylor: as low as they have been, but there are still the strong wind around and a good deal of cloud. those snow showers continue across the north and east of scotla nd across"
1001,39,"[276, 277, 278, 279, 280, 281]","['00:26:57,073', '00:27:16,548']",,"the north and east of scotland running through the central belt and the north east of england. and we could see more snow developing not just and we could see more snow developing notjust across northern ireland and wales but in southern england, especially during the afternoon, and patch is slowly work its way north, with some uncertainty about how much snow we will get during the day on friday. another called david temperatures struggling to get above freezing, and we still"
